id,question,url,creatorUsername,outcomeType,closeTime,closeDate,lastBetTime,lastBetDate,probability,volume,volume24Hours,uniqueBettorCount,textDescription,descriptionError,randomizationGroup,randomizationOrder,randomizationSeed,monitorDiscoveredAt,monitorExistingSourcesChecked
555z0Sn22q,Daily Coinflip,https://manifold.markets/Traveel/daily-coinflip-qLhucnnz6C,Traveel,BINARY,1780113540000,2026-05-29T23:59:00-04:00,1779980413464,2026-05-28T11:00:13.464000-04:00,0.5063892963176356,670,956.2747059215786,5,"! Block #DailyCoinflip to stop seeing these !

Yes = heads

No = tails

(Day 505)

Current totals: 260 heads vs 244 tails

Longest streaks: 10 heads (days 12-22); 9 tails (days 479-488)

Yesterday’s flip: Heads

@FairlyRandom will be used to generate the outcome

1 = heads

2 = tails

Resolution can be expected within 24 hours after closing

Noteworthy Gamblers:

Longest win streak: @Skyguy (of 7)

Longest loss streak: @QuestionableQuentin (of 11)

Biggest win: @evan (of Ṁ109,593 profit on day 329)

Biggest loss: @JannesH (of -Ṁ63,765 on day 367)

Most flips:

[Submit a comment or DM to be featured]

Contingencies:

Should @FairlyRandom fail to produce a response 24 hours after the close date, and after additional @FairlyRandom roll requests (one over here > one on the testing market), I will manually resolve it according to a Google coinflip (outcome is final).

Should I fail to generate and/or resolve the outcome within a week after the market’s close, a mod may do so instead.",,Control,1,2026,2026-05-28T11:09:54-04:00,/Users/dezhenguo/Desktop/ManifoldPersuation/Markets/active_markets_until_end_june_2026_with_descriptions.csv | /Users/dezhenguo/Desktop/ManifoldPersuation/Markets/MarketsRandomization.csv | /Users/dezhenguo/Desktop/ManifoldPersuation/Markets/new_markets.csv
ZyQ9nhqusE,OpenAI confirm work on a Generative Music tool by end of June 2026?,https://manifold.markets/MingCat/openai-confirm-work-on-a-generative,MingCat,BINARY,1782863940000,2026-06-30T19:59:00-04:00,1780020182131,2026-05-28T22:03:02.131000-04:00,0.105163139951366,4757.021947023003,764.7722774213306,21,"The tool doesn't have to be a distinct model. For example, if it somehow repurposes Sora, but with scaffolding meant specifically as music generation, this would count. The tool must be first-party. Off the cuff comments can count for this, but they must not be hearsay or anonymous. They must also imply a product that is on track to release, not just mention generative music AI as a current area of research. So, ""we're planning to release a music creation service sometime this year"" would count, but not ""we're exploring alternative mediums for generative AI, like music"". 

Market closes at July 1st, 00:00 UTC.

Update 2025-10-26 (PST) (AI summary of creator comment): The tool must have audio modality (i.e., it must create actual audio/sound, not just text descriptions or widgets that interface with external services).",,Treatment,282,2026,2026-05-28T23:52:13-04:00,/Users/dezhenguo/Desktop/ManifoldPersuation/Markets/MarketsRandomization.csv | /Users/dezhenguo/Desktop/ManifoldPersuation/Markets/new_markets.csv
zuqQhhyZCq,Will Chicago A1 have any tiebreak quals at ARML 2026?,https://manifold.markets/grins/will-chicago-a1-have-any-tiebreak-q,grins,BINARY,1780138740000,2026-05-30T06:59:00-04:00,1780022648089,2026-05-28T22:44:08.089000-04:00,0.6097560975609754,33.66666666666664,33.666666666666636,3,"The 2026 ARML (American Regional Mathematics League) will take place on May 29th and 30th. Resolves yes if a member of the Chicago A1 ARML team qualifies for ARML tiebreakers. Typically, qualifying for tiebreakers means you are tied for top 20 individuals.",,Treatment,283,2026,2026-05-28T23:52:13-04:00,/Users/dezhenguo/Desktop/ManifoldPersuation/Markets/MarketsRandomization.csv | /Users/dezhenguo/Desktop/ManifoldPersuation/Markets/new_markets.csv
AlEyg6ySgN,Will at least one participant in the 2026 USACO training camp be a cheater?,https://manifold.markets/AnandSwaroop/will-at-least-one-participant-in-th,AnandSwaroop,BINARY,1782863940000,2026-06-30T19:59:00-04:00,1780022545703,2026-05-28T22:42:25.703000-04:00,0.2873340998976576,975.524564566083,15,28,"Resolution Criteria

This market resolves YES if, by the end of May 2026, at least one participant in the 2026 USACO training camp is found to have cheated their way into camp. Resolution requires evidence that a participant cheated in a USACO contest or at camp, or evidence that they are well below the skill level indicated by their performance. This market resolves NO if no such confirmed cases emerge by June 2026.",,Treatment,284,2026,2026-05-28T23:52:13-04:00,/Users/dezhenguo/Desktop/ManifoldPersuation/Markets/MarketsRandomization.csv | /Users/dezhenguo/Desktop/ManifoldPersuation/Markets/new_markets.csv
EcnsqE626U,Will I comment on this market?,https://manifold.markets/jatloe/will-i-comment-on-this-market,jatloe,BINARY,1780437600000,2026-06-02T18:00:00-04:00,1780001931715,2026-05-28T16:58:51.715000-04:00,0.2836025492553763,156.33333333333331,156.33333333333334,6,"The goal of this market is to see if you all can somehow bait me into commenting. I will bet on this market.

Only comments before the close time count.",,Control,285,2026,2026-05-28T23:52:13-04:00,/Users/dezhenguo/Desktop/ManifoldPersuation/Markets/MarketsRandomization.csv | /Users/dezhenguo/Desktop/ManifoldPersuation/Markets/new_markets.csv
NpOccgERlQ,"(LIVE MARKET) Oklahoma City Thunder vs San Antonio Spurs, Game 6",https://manifold.markets/prismatic/live-market-oklahoma-city-thunder-v-tLREdSzLPz,prismatic,BINARY,1780095600000,2026-05-29T19:00:00-04:00,1780023292192,2026-05-28T22:54:52.192000-04:00,0.009999999999999997,1977.2865360653475,2038.452037291063,12,"You can trade on this live because @/Mochi/oklahoma-city-thunder-vs-san-antoni-l2chRdESlt closes early 


Resolves YES if Thunder wins, NO if Spurs wins
",,Control,286,2026,2026-05-28T23:52:13-04:00,/Users/dezhenguo/Desktop/ManifoldPersuation/Markets/MarketsRandomization.csv | /Users/dezhenguo/Desktop/ManifoldPersuation/Markets/new_markets.csv
nQQU9OOlIO,New Iranian Supreme Leader is chosen in March 2026 and killed in March 2026.,https://manifold.markets/AlexanderTheGreater/new-iranian-supreme-leader-is-chose,AlexanderTheGreater,BINARY,1782863940000,2026-06-30T19:59:00-04:00,1779988259943,2026-05-28T13:10:59.943000-04:00,0.048751083257360724,23601.209396184735,68.28883858773537,169,"Update 2026-03-12 (PST) (AI summary of creator comment): Resolution will be based on the date of death, not the date of injury.

Update 2026-03-26 (PST) (AI summary of creator comment): Creator will delay resolution due to uncertainty about whether the subject is currently alive. The market may remain unresolved for an extended period while the situation becomes clearer.",,Treatment,287,2026,2026-05-28T23:52:13-04:00,/Users/dezhenguo/Desktop/ManifoldPersuation/Markets/MarketsRandomization.csv | /Users/dezhenguo/Desktop/ManifoldPersuation/Markets/new_markets.csv
sZ96nN9EPE,Will I get an A on English this year,https://manifold.markets/Tetrahydrofuran/will-i-get-an-a-on-english-this-yea,Tetrahydrofuran,BINARY,1780613940000,2026-06-04T18:59:00-04:00,1780023613081,2026-05-28T23:00:13.081000-04:00,0.7538461538461536,78.33333333333329,78.33333333333329,4,"there are three test grades for english now left, which is a film (already done but not graded), an artistic statement of the film and a reflection of the film as final project. As my first semester is 91.95, the second semester grade needs to be 93.05 to average 92.5 and round up to an A. These three assignments are all worth 100 points. I need a total of 260/300 to get 93.09 total this semester. The last two assignments are due next wed.

This market is created to encourage myself, so I reserve the right to bet YES on this market. ",,Treatment,288,2026,2026-05-28T23:52:13-04:00,/Users/dezhenguo/Desktop/ManifoldPersuation/Markets/MarketsRandomization.csv | /Users/dezhenguo/Desktop/ManifoldPersuation/Markets/new_markets.csv
9ppn5cCLld,Will we see a destroyed tanker in the Straight of Hormuz by mid 2026?,https://manifold.markets/Ernie/will-an-oil-tankerbe-destroyed-in-t,Ernie,BINARY,1782863940000,2026-06-30T19:59:00-04:00,1780014706117,2026-05-28T20:31:46.117000-04:00,0.3432167032128896,1788.5564265666164,50,22,"For any reason. The tanker must have been on the water. 

Full or empty, doesn't matter.

Intentional demolition or scuttling counts but it can't have been planned ahead and intentional.

Sinking counts as destroyed.

Accidentally crashing and being abandoned and sinking counts even if it's pilot error

Intentional planned launch, evac, then sinking wouldn't.

Piracy followed by the pirates planning to sink it and then doing so would count.

Update 2026-05-14 (PST) (AI summary of creator comment): Destroyed means the ship is no longer usable for its purpose as a ship. Specifically:

If a ship sinks but is quickly restored and rebuilt to function as a ship again, it does not count as destroyed

If a ship sinks and is left down or salvaged only for parts/metal, it does count as destroyed",,Control,289,2026,2026-05-28T23:52:13-04:00,/Users/dezhenguo/Desktop/ManifoldPersuation/Markets/MarketsRandomization.csv | /Users/dezhenguo/Desktop/ManifoldPersuation/Markets/new_markets.csv
ZC8s6nORqN,Will the New York Knicks win the 2026 NBA Finals?,https://manifold.markets/Terminator2/will-the-new-york-knicks-win-the-20,Terminator2,BINARY,1782216000000,2026-06-23T08:00:00-04:00,1780024806415,2026-05-28T23:20:06.415000-04:00,0.2248263093146051,11,11,2,"The New York Knicks reached the 2026 NBA Finals for the first time since 1999, completing a sweep of the Cleveland Cavaliers in the Eastern Conference Finals. They face the Western Conference champion (Oklahoma City Thunder or San Antonio Spurs). Game 1 is scheduled for June 3, 2026. Resolves YES if the New York Knicks win the 2026 NBA Finals and are crowned NBA champions, per the official result reported on NBA.com. Resolves NO if the Western Conference champion wins the series. Resolves at the conclusion of the Finals (no later than Game 7, on or around June 21, 2026).",,Treatment,290,2026,2026-05-28T23:52:13-04:00,/Users/dezhenguo/Desktop/ManifoldPersuation/Markets/MarketsRandomization.csv | /Users/dezhenguo/Desktop/ManifoldPersuation/Markets/new_markets.csv
